Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Michael Jordan,27,CHI,SG,82,82,37,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7,8.2,0.851,1.4,4.6,6,5.5,2.7,1,2.5,2.8,31.5,"MVP-1,DPOY-7,AS,NBA1,DEF1"
2,Karl Malone,27,UTA,PF,82,82,40.3,10.3,19.6,0.527,0,0.2,0.286,10.3,19.4,0.529,0.528,8.3,10.8,0.77,2.9,8.9,11.8,3.3,1.1,1,3,3.3,29,"MVP-5,AS,NBA1"
3,Bernard King,34,WSB,SF,64,64,37.5,11.1,23.6,0.472,0.1,0.6,0.216,11,23,0.478,0.475,6,7.6,0.79,1.8,3.2,5,4.6,0.9,0.3,4,2.9,28.4,"MVP-16,AS,NBA3"
4,Charles Barkley,27,PHI,SF,67,67,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,"MVP-4,AS,NBA1"
5,Patrick Ewing,28,NYK,C,81,81,38.3,10.4,20.3,0.514,0,0.1,0,10.4,20.2,0.516,0.514,5.7,7.7,0.745,2.4,8.8,11.2,3,1,3.2,3.6,3.5,26.6,"MVP-11,DPOY-7,AS,NBA2"
6,Michael Adams,28,DEN,PG,66,66,35.5,8.5,21.5,0.394,2.5,8.5,0.296,6,13,0.459,0.453,7,8,0.879,0.9,3,3.9,10.5,2.2,0.1,3.6,2.5,26.5,
7,Dominique Wilkins,31,ATL,SF,81,81,38,9.5,20.2,0.47,1,3.1,0.341,8.5,17.2,0.492,0.495,5.9,7.1,0.829,3.2,5.8,9,3.3,1.5,0.8,2.5,1.9,25.9,"MVP-8,AS,NBA2"
8,Chris Mullin,27,GSW,SF,82,82,40.4,9.5,17.7,0.536,0.5,1.6,0.301,9,16,0.56,0.55,6.3,7.1,0.884,1.7,3.7,5.4,4,2.1,0.8,3,2.1,25.7,"AS,NBA2"
9,David Robinson,25,SAS,C,82,81,37.7,9.2,16.7,0.552,0,0.1,0.143,9.2,16.6,0.554,0.552,7.2,9.5,0.762,4.1,8.9,13,2.5,1.5,3.9,3.3,3.2,25.6,"MVP-3,DPOY-2,AS,NBA1,DEF1"
10,Orlando Woolridge,31,DEN,SF,53,50,34.4,9.2,18.5,0.498,0,0.1,0,9.2,18.5,0.501,0.498,6.6,8.3,0.797,2.7,4.2,6.8,2.2,1.3,0.4,2.9,2.7,25.1,
11,Mitch Richmond,25,GSW,SG,77,77,39.3,9.1,18.5,0.494,0.5,1.5,0.348,8.6,17,0.506,0.508,5.1,6,0.847,1.9,4,5.9,3.1,1.6,0.4,3,2.7,23.9,
12,Tim Hardaway,24,GSW,PG,82,82,39.2,9,18.9,0.476,1.2,3.1,0.385,7.8,15.8,0.494,0.508,3.7,4.6,0.803,1.1,3,4,9.7,2.6,0.1,3.3,2.8,22.9,"MVP-19,AS"
13,Reggie Miller,25,IND,SG,82,82,36.2,7.3,14.2,0.512,1.4,3.9,0.348,5.9,10.3,0.575,0.56,6.7,7.3,0.918,1,2.4,3.4,4,1.3,0.2,2,2,22.6,
14,Kevin Johnson,24,PHO,PG,77,76,36,7.7,14.9,0.516,0.1,0.6,0.205,7.6,14.3,0.529,0.52,6.7,8,0.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,"MVP-7,AS,NBA2"
